source,dataset,strategy,prune_layers,prune_ratio,metric_name,metric_value,run_dir
keep_position_ids_summary,gqa,masking_attn_score,[3],[0.5],accuracy,62.03,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l3_r0p5__20260324_053049_778013
keep_position_ids_summary,gqa,masking_attn_score,[3],[0.4],accuracy,62.01,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l3_r0p4__20260324_053018_581242
keep_position_ids_summary,gqa,masking_attn_score,[3],[0.6],accuracy,62.01,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l3_r0p6__20260324_064442_713350
keep_position_ids_summary,gqa,masking_attn_score,[1],[0.7],accuracy,62.0,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l1_r0p7__20260323_184436_754475
keep_position_ids_summary,gqa,masking_attn_score,[3],[0.3],accuracy,62.0,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l3_r0p3__20260324_053004_104919
keep_position_ids_summary,gqa,masking_attn_score,[1],[0.6],accuracy,61.98,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l1_r0p6__20260323_184253_714039
keep_position_ids_summary,gqa,masking_attn_score,[2],[0.4],accuracy,61.98,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l2_r0p4__20260323_195510_796908
keep_position_ids_summary,gqa,pre_attn_score,[1],[0.2],accuracy,61.98,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/pre_attn_score/gqa/gqa_pre_attn_score_l1_r0p2__20260323_173800_689414
keep_position_ids_summary,gqa,attn_score,[1],[0.2],accuracy,61.97,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/attn_score/gqa/gqa_attn_score_l1_r0p2__20260323_173758_463639
keep_position_ids_summary,gqa,masking_attn_score,[1],[0.3],accuracy,61.97,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l1_r0p3__20260323_173817_379160
keep_position_ids_summary,gqa,masking_attn_score,[3],[0.7],accuracy,61.96,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l3_r0p7__20260324_064557_740979
keep_position_ids_summary,gqa,masking_attn_score,[2],[0.5],accuracy,61.94,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l2_r0p5__20260323_204853_113473
keep_position_ids_summary,gqa,masking_attn_score,[1],[0.5],accuracy,61.93,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l1_r0p5__20260323_184203_273907
keep_position_ids_summary,gqa,masking_attn_score,[2],[0.6],accuracy,61.93,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l2_r0p6__20260323_205735_123438
keep_position_ids_summary,gqa,masking_attn_score,[3],[0.2],accuracy,61.93,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l3_r0p2__20260324_052950_177132
keep_position_ids_summary,gqa,sparsevlm,[3],[0.2],accuracy,61.93,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/sparsevlm/gqa/gqa_sparsevlm_l3_r0p2__20260324_052957_048319
keep_position_ids_summary,gqa,masking_attn_score,[1],[0.2],accuracy,61.92,/data_ssd/liuyu/LLaVA-prune_exp/entropy_exp/outputs/runs_keep_position_ids/masking_attn_score/gqa/gqa_masking_attn_score_l1_r0p2__20260323_173803_103632
