dataset,strategy,prune_layer,prune_ratio,sample_index,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,peak_allocated_bytes,peak_reserved_bytes,kv_cache_bytes_est,attn_total_ms,qk_ms,softmax_ms,av_ms,theoretical_speedup_prefill,notes
gqa,baseline,,,0,43.697648,43.947088,44.737176,14674736128,14755561472,332398592,21.244598,4.556,1.830368,3.971904,,anchor_trace
gqa,masking_attn_score,1,0.2,0,48.027541,47.298353,52.216604,14674736128,14755561472,332398592,22.070616,,,,,
gqa,masking_attn_score,1,0.3,0,51.203342,49.074207,60.985529,14674736128,14755561472,332398592,23.542101,,,,,
gqa,masking_attn_score,1,0.4,0,50.16881,49.111616,59.313305,14674736128,14755561472,332398592,22.885758,,,,,
gqa,masking_attn_score,1,0.5,0,49.014864,47.85504,53.812109,14674736128,14755561472,332398592,22.605902,,,,,
gqa,masking_attn_score,1,0.6,0,46.66012,46.55496,47.196935,14674736128,14755561472,332398592,21.218877,,,,,
gqa,masking_attn_score,1,0.7,0,47.274185,46.585056,48.510715,14674736128,14755561472,332398592,21.649082,,,,,
gqa,masking_attn_score,2,0.2,0,48.7052,47.556273,54.26848,14674736128,14755561472,332398592,22.509701,,,,,
gqa,masking_attn_score,2,0.3,0,48.323077,47.593393,52.65705,14674736128,14755561472,332398592,22.050854,,,,,
gqa,masking_attn_score,2,0.4,0,48.404136,47.380367,54.900495,14674736128,14755561472,332398592,22.432038,,,,,
gqa,masking_attn_score,2,0.5,0,46.614178,46.563488,46.948359,14674736128,14755561472,332398592,21.179677,2.777344,1.260768,2.222208,,anchor_trace
gqa,masking_attn_score,2,0.6,0,47.975571,46.681456,52.148304,14674736128,14755561472,332398592,22.437046,,,,,
gqa,masking_attn_score,2,0.7,0,47.434739,47.250959,49.460607,14674736128,14755561472,332398592,21.922469,,,,,
gqa,masking_attn_score,3,0.2,0,47.682808,47.026447,51.454365,14674736128,14755561472,332398592,22.155898,,,,,
gqa,masking_attn_score,3,0.3,0,46.755349,46.610321,47.882823,14674736128,14755561472,332398592,21.338746,,,,,
gqa,masking_attn_score,3,0.4,0,47.606157,47.160641,49.348142,14674736128,14755561472,332398592,21.70699,,,,,
gqa,masking_attn_score,3,0.5,0,47.786532,46.962513,51.634351,14674736128,14755561472,332398592,22.087586,,,,,
gqa,masking_attn_score,3,0.6,0,47.279263,47.085312,48.035769,14674736128,14755561472,332398592,21.681506,,,,,
gqa,masking_attn_score,3,0.7,0,49.045443,47.316641,54.699142,14674736128,14755561472,332398592,23.013578,,,,,
mme,baseline,,,0,46.011382,46.02352,46.710408,14690996736,14755561472,334495744,22.36985,2.457088,1.172064,2.225632,,anchor_trace
mme,masking_attn_score,1,0.2,0,47.181571,47.007744,48.514482,14690996736,14755561472,334495744,21.412882,,,,,
mme,masking_attn_score,1,0.3,0,47.403415,47.159248,48.179331,14690996736,14755561472,334495744,21.670458,,,,,
mme,masking_attn_score,1,0.4,0,49.611968,48.617136,51.057936,14690996736,14755561472,334495744,22.938178,,,,,
mme,masking_attn_score,1,0.5,0,47.061009,46.981424,47.64562,14690996736,14755561472,334495744,21.452938,,,,,
mme,masking_attn_score,1,0.6,0,48.514786,47.485903,53.810337,14690996736,14755561472,334495744,22.833352,,,,,
mme,masking_attn_score,1,0.7,0,47.922019,47.791759,48.915233,14690996736,14755561472,334495744,21.81985,,,,,
mme,masking_attn_score,2,0.2,0,47.246805,46.657152,49.740201,14690996736,14755561472,334495744,21.600493,,,,,
mme,masking_attn_score,2,0.3,0,47.462545,46.497856,53.384683,14690996736,14755561472,334495744,21.742936,,,,,
mme,masking_attn_score,2,0.4,0,46.591113,46.451216,46.978538,14690996736,14755561472,334495744,21.290398,,,,,
mme,masking_attn_score,2,0.5,0,48.078321,47.317551,51.407017,14690996736,14755561472,334495744,22.530965,2.533408,1.203552,2.117024,,anchor_trace
mme,masking_attn_score,2,0.6,0,47.618868,46.9984,50.260449,14690996736,14755561472,334495744,21.899586,,,,,
mme,masking_attn_score,2,0.7,0,48.188123,47.238287,54.158686,14690996736,14755561472,334495744,22.581661,,,,,
mme,masking_attn_score,3,0.2,0,46.70251,46.536495,47.589548,14690832896,14782824448,334495744,21.277288,,,,,
mme,masking_attn_score,3,0.3,0,48.274721,47.01696,54.445761,14690832896,14782824448,334495744,22.529592,,,,,
mme,masking_attn_score,3,0.4,0,47.381147,47.200176,49.187746,14690832896,14782824448,334495744,21.670422,,,,,
mme,masking_attn_score,3,0.5,0,47.661762,47.400623,49.459951,14690832896,14782824448,334495744,21.687877,,,,,
mme,masking_attn_score,3,0.6,0,47.499664,46.66704,51.631556,14690832896,14782824448,334495744,21.739939,,,,,
mme,masking_attn_score,3,0.7,0,46.706701,46.572273,47.376801,14690832896,14782824448,334495744,21.307435,,,,,
pope,baseline,,,0,46.680064,45.518335,51.431355,14707351552,14807990272,334495744,23.160837,2.465632,1.14048,2.163968,,anchor_trace
pope,masking_attn_score,1,0.2,0,46.828036,46.631599,47.200292,14707187712,14782824448,334495744,21.353661,,,,,
pope,masking_attn_score,1,0.3,0,46.920435,46.384752,48.961121,14707187712,14782824448,334495744,21.246118,,,,,
pope,masking_attn_score,1,0.4,0,46.642289,46.582975,47.032032,14707187712,14782824448,334495744,21.170083,,,,,
pope,masking_attn_score,1,0.5,0,47.252859,46.654816,50.264194,14707187712,14782824448,334495744,21.507971,,,,,
pope,masking_attn_score,1,0.6,0,47.291811,46.846048,49.854462,14707187712,14782824448,334495744,21.759909,,,,,
pope,masking_attn_score,1,0.7,0,47.61629,47.130209,49.745652,14707187712,14782824448,334495744,21.943118,,,,,
pope,masking_attn_score,2,0.2,0,47.029573,46.594864,47.772362,14707187712,14782824448,334495744,21.780066,,,,,
pope,masking_attn_score,2,0.3,0,46.863239,46.651632,48.095862,14707187712,14782824448,334495744,21.581549,,,,,
pope,masking_attn_score,2,0.4,0,48.475672,46.879393,56.065535,14707187712,14782824448,334495744,22.882115,,,,,
pope,masking_attn_score,2,0.5,0,47.913214,47.454414,50.151565,14707187712,14782824448,334495744,22.281829,2.555168,1.169088,2.144576,,anchor_trace
pope,masking_attn_score,2,0.6,0,47.452074,46.659199,49.862852,14707187712,14782824448,334495744,22.095698,,,,,
pope,masking_attn_score,2,0.7,0,46.723563,46.72904,47.045961,14707187712,14782824448,334495744,21.391506,,,,,
pope,masking_attn_score,3,0.2,0,48.262365,47.354225,54.302482,14707187712,14782824448,334495744,22.714285,,,,,
pope,masking_attn_score,3,0.3,0,47.229321,47.050898,48.159544,14707187712,14782824448,334495744,21.740957,,,,,
pope,masking_attn_score,3,0.4,0,47.887211,47.409248,52.193147,14707187712,14782824448,334495744,22.092781,,,,,
pope,masking_attn_score,3,0.5,0,47.655997,46.971537,50.9334,14707187712,14782824448,334495744,22.165542,,,,,
pope,masking_attn_score,3,0.6,0,48.087915,47.040592,54.039414,14707187712,14782824448,334495744,22.456627,,,,,
pope,masking_attn_score,3,0.7,0,47.251787,47.001904,49.433619,14707187712,14782824448,334495744,21.962275,,,,,
