dataset,strategy,prune_layer,prune_ratio,sample_index,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,peak_allocated_bytes,peak_reserved_bytes,kv_cache_bytes_est,attn_total_ms,qk_ms,softmax_ms,av_ms,theoretical_speedup_prefill,notes
gqa,tail_masking_attn_score,1,0.2,0,76.727835,76.367905,78.673718,14732361728,14812184576,332398592,1.411363,,,,,
gqa,tail_masking_attn_score,1,0.3,0,76.531355,76.097168,78.696,14732361728,14812184576,332398592,1.355776,,,,,
gqa,tail_masking_attn_score,1,0.4,0,76.360251,75.117283,83.706505,14732361728,14812184576,332398592,1.705274,,,,,
gqa,tail_masking_attn_score,1,0.5,0,76.974765,74.954384,85.725764,14732361728,14812184576,332398592,1.588472,,,,,
gqa,tail_masking_attn_score,1,0.6,0,74.267879,74.244625,74.988453,14732361728,14812184576,332398592,1.322333,,,,,
gqa,tail_masking_attn_score,1,0.7,0,74.860443,73.696114,84.235383,14732361728,14812184576,332398592,1.72269,,,,,
gqa,tail_masking_attn_score,2,0.2,0,73.217174,72.16795,79.889396,14732361728,14812184576,332398592,1.958373,,,,,
gqa,tail_masking_attn_score,2,0.3,0,72.972248,72.893936,74.480927,14732361728,14812184576,332398592,1.924594,,,,,
gqa,tail_masking_attn_score,2,0.4,0,74.585403,73.173904,80.91399,14732361728,14812184576,332398592,2.137832,,,,,
gqa,tail_masking_attn_score,2,0.5,0,73.423978,73.08976,76.176484,14732361728,14812184576,332398592,2.189022,4.88912,2.747296,2.380672,,anchor_trace
gqa,tail_masking_attn_score,2,0.6,0,79.071615,78.640862,82.602592,14732361728,14812184576,332398592,2.021422,,,,,
gqa,tail_masking_attn_score,2,0.7,0,81.104428,80.083775,86.548785,14732361728,14812184576,332398592,2.793858,,,,,
gqa,tail_masking_attn_score,3,0.2,0,79.221917,78.646622,81.958669,14732361728,14812184576,332398592,2.757968,,,,,
gqa,tail_masking_attn_score,3,0.3,0,79.104629,78.345345,83.830961,14732361728,14812184576,332398592,3.062621,,,,,
gqa,tail_masking_attn_score,3,0.4,0,78.591843,77.162704,87.319371,14732361728,14812184576,332398592,2.970149,,,,,
gqa,tail_masking_attn_score,3,0.5,0,78.591338,77.951279,80.295636,14732361728,14812184576,332398592,2.835299,,,,,
gqa,tail_masking_attn_score,3,0.6,0,78.018417,77.104977,82.587161,14732361728,14812184576,332398592,2.637058,,,,,
gqa,tail_masking_attn_score,3,0.7,0,79.679374,78.80299,84.660265,14732361728,14812184576,332398592,2.800035,,,,,
mme,tail_masking_attn_score,1,0.2,0,79.794802,78.782848,83.774121,14748904448,14837350400,334495744,1.356666,,,,,
mme,tail_masking_attn_score,1,0.3,0,79.931194,79.304878,83.88981,14748904448,14837350400,334495744,1.429469,,,,,
mme,tail_masking_attn_score,1,0.4,0,80.958401,80.101696,86.608794,14748904448,14837350400,334495744,1.447578,,,,,
mme,tail_masking_attn_score,1,0.5,0,80.096588,79.568478,83.283712,14748904448,14837350400,334495744,1.414336,,,,,
mme,tail_masking_attn_score,1,0.6,0,79.035247,78.654034,80.973954,14748904448,14837350400,334495744,1.331232,,,,,
mme,tail_masking_attn_score,1,0.7,0,81.456796,80.250561,86.246905,14748904448,14837350400,334495744,1.448912,,,,,
mme,tail_masking_attn_score,2,0.2,0,81.026875,80.201122,84.360182,14748985856,14864613376,334495744,2.254914,,,,,
mme,tail_masking_attn_score,2,0.3,0,79.599822,79.11533,82.498542,14748985856,14864613376,334495744,2.087368,,,,,
mme,tail_masking_attn_score,2,0.4,0,79.061246,77.761471,89.086769,14748985856,14864613376,334495744,2.217691,,,,,
mme,tail_masking_attn_score,2,0.5,0,79.253618,77.875282,85.233484,14748985856,14864613376,334495744,2.473088,5.037792,2.690016,2.53968,,anchor_trace
mme,tail_masking_attn_score,2,0.6,0,79.022353,78.153023,84.261134,14748985856,14864613376,334495744,1.977397,,,,,
mme,tail_masking_attn_score,2,0.7,0,80.447567,79.56728,85.095031,14748985856,14864613376,334495744,2.677891,,,,,
mme,tail_masking_attn_score,3,0.2,0,77.877205,77.638577,80.237728,14748659200,14812184576,334495744,2.703979,,,,,
mme,tail_masking_attn_score,3,0.3,0,94.086182,78.861923,104.527643,14748659200,14812184576,334495744,3.303797,,,,,
mme,tail_masking_attn_score,3,0.4,0,78.746951,77.537933,81.194712,14748659200,14812184576,334495744,2.737926,,,,,
mme,tail_masking_attn_score,3,0.5,0,77.613533,77.897011,78.541436,14748659200,14812184576,334495744,2.682376,,,,,
