dataset,strategy,prune_layer,prune_ratio,sample_index,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,peak_allocated_bytes,peak_reserved_bytes,kv_cache_bytes_est,attn_total_ms,qk_ms,softmax_ms,av_ms,theoretical_speedup_prefill,notes
gqa,baseline,,,0,43.697648,43.947088,44.737176,14674736128,14755561472,332398592,21.244598,4.556,1.830368,3.971904,,anchor_trace
gqa,masking_attn_score,1,0.2,0,48.027541,47.298353,52.216604,14674736128,14755561472,332398592,22.070616,,,,,
gqa,masking_attn_score,1,0.3,0,51.203342,49.074207,60.985529,14674736128,14755561472,332398592,23.542101,,,,,
gqa,masking_attn_score,1,0.4,0,50.16881,49.111616,59.313305,14674736128,14755561472,332398592,22.885758,,,,,
gqa,masking_attn_score,1,0.5,0,49.014864,47.85504,53.812109,14674736128,14755561472,332398592,22.605902,,,,,
gqa,masking_attn_score,1,0.6,0,46.66012,46.55496,47.196935,14674736128,14755561472,332398592,21.218877,,,,,
gqa,masking_attn_score,1,0.7,0,47.274185,46.585056,48.510715,14674736128,14755561472,332398592,21.649082,,,,,
gqa,masking_attn_score,2,0.2,0,48.7052,47.556273,54.26848,14674736128,14755561472,332398592,22.509701,,,,,
gqa,masking_attn_score,2,0.3,0,48.323077,47.593393,52.65705,14674736128,14755561472,332398592,22.050854,,,,,
gqa,masking_attn_score,2,0.4,0,48.404136,47.380367,54.900495,14674736128,14755561472,332398592,22.432038,,,,,
gqa,masking_attn_score,2,0.5,0,46.614178,46.563488,46.948359,14674736128,14755561472,332398592,21.179677,2.777344,1.260768,2.222208,,anchor_trace
gqa,masking_attn_score,2,0.6,0,47.975571,46.681456,52.148304,14674736128,14755561472,332398592,22.437046,,,,,
gqa,masking_attn_score,2,0.7,0,47.434739,47.250959,49.460607,14674736128,14755561472,332398592,21.922469,,,,,
gqa,masking_attn_score,3,0.2,0,47.682808,47.026447,51.454365,14674736128,14755561472,332398592,22.155898,,,,,
gqa,masking_attn_score,3,0.3,0,46.755349,46.610321,47.882823,14674736128,14755561472,332398592,21.338746,,,,,
gqa,masking_attn_score,3,0.4,0,47.606157,47.160641,49.348142,14674736128,14755561472,332398592,21.70699,,,,,
gqa,masking_attn_score,3,0.5,0,47.786532,46.962513,51.634351,14674736128,14755561472,332398592,22.087586,,,,,
gqa,masking_attn_score,3,0.6,0,47.279263,47.085312,48.035769,14674736128,14755561472,332398592,21.681506,,,,,
gqa,masking_attn_score,3,0.7,0,49.045443,47.316641,54.699142,14674736128,14755561472,332398592,23.013578,,,,,
gqa,tail_masking_attn_score,1,0.2,0,76.727835,76.367905,78.673718,14732361728,14812184576,332398592,1.411363,,,,,
gqa,tail_masking_attn_score,1,0.3,0,76.531355,76.097168,78.696,14732361728,14812184576,332398592,1.355776,,,,,
gqa,tail_masking_attn_score,1,0.4,0,76.360251,75.117283,83.706505,14732361728,14812184576,332398592,1.705274,,,,,
gqa,tail_masking_attn_score,1,0.5,0,76.974765,74.954384,85.725764,14732361728,14812184576,332398592,1.588472,,,,,
gqa,tail_masking_attn_score,1,0.6,0,74.267879,74.244625,74.988453,14732361728,14812184576,332398592,1.322333,,,,,
gqa,tail_masking_attn_score,1,0.7,0,74.860443,73.696114,84.235383,14732361728,14812184576,332398592,1.72269,,,,,
gqa,tail_masking_attn_score,2,0.2,0,73.217174,72.16795,79.889396,14732361728,14812184576,332398592,1.958373,,,,,
gqa,tail_masking_attn_score,2,0.3,0,72.972248,72.893936,74.480927,14732361728,14812184576,332398592,1.924594,,,,,
gqa,tail_masking_attn_score,2,0.4,0,74.585403,73.173904,80.91399,14732361728,14812184576,332398592,2.137832,,,,,
gqa,tail_masking_attn_score,2,0.5,0,73.423978,73.08976,76.176484,14732361728,14812184576,332398592,2.189022,4.88912,2.747296,2.380672,,anchor_trace
gqa,tail_masking_attn_score,2,0.6,0,79.071615,78.640862,82.602592,14732361728,14812184576,332398592,2.021422,,,,,
gqa,tail_masking_attn_score,2,0.7,0,81.104428,80.083775,86.548785,14732361728,14812184576,332398592,2.793858,,,,,
gqa,tail_masking_attn_score,3,0.2,0,79.221917,78.646622,81.958669,14732361728,14812184576,332398592,2.757968,,,,,
gqa,tail_masking_attn_score,3,0.3,0,79.104629,78.345345,83.830961,14732361728,14812184576,332398592,3.062621,,,,,
gqa,tail_masking_attn_score,3,0.4,0,78.591843,77.162704,87.319371,14732361728,14812184576,332398592,2.970149,,,,,
gqa,tail_masking_attn_score,3,0.5,0,78.591338,77.951279,80.295636,14732361728,14812184576,332398592,2.835299,,,,,
gqa,tail_masking_attn_score,3,0.6,0,78.018417,77.104977,82.587161,14732361728,14812184576,332398592,2.637058,,,,,
gqa,tail_masking_attn_score,3,0.7,0,79.679374,78.80299,84.660265,14732361728,14812184576,332398592,2.800035,,,,,
mme,baseline,,,0,46.011382,46.02352,46.710408,14690996736,14755561472,334495744,22.36985,2.457088,1.172064,2.225632,,anchor_trace
mme,masking_attn_score,1,0.2,0,47.181571,47.007744,48.514482,14690996736,14755561472,334495744,21.412882,,,,,
mme,masking_attn_score,1,0.3,0,47.403415,47.159248,48.179331,14690996736,14755561472,334495744,21.670458,,,,,
mme,masking_attn_score,1,0.4,0,49.611968,48.617136,51.057936,14690996736,14755561472,334495744,22.938178,,,,,
mme,masking_attn_score,1,0.5,0,47.061009,46.981424,47.64562,14690996736,14755561472,334495744,21.452938,,,,,
mme,masking_attn_score,1,0.6,0,48.514786,47.485903,53.810337,14690996736,14755561472,334495744,22.833352,,,,,
mme,masking_attn_score,1,0.7,0,47.922019,47.791759,48.915233,14690996736,14755561472,334495744,21.81985,,,,,
mme,masking_attn_score,2,0.2,0,47.246805,46.657152,49.740201,14690996736,14755561472,334495744,21.600493,,,,,
mme,masking_attn_score,2,0.3,0,47.462545,46.497856,53.384683,14690996736,14755561472,334495744,21.742936,,,,,
mme,masking_attn_score,2,0.4,0,46.591113,46.451216,46.978538,14690996736,14755561472,334495744,21.290398,,,,,
mme,masking_attn_score,2,0.5,0,48.078321,47.317551,51.407017,14690996736,14755561472,334495744,22.530965,2.533408,1.203552,2.117024,,anchor_trace
mme,masking_attn_score,2,0.6,0,47.618868,46.9984,50.260449,14690996736,14755561472,334495744,21.899586,,,,,
mme,masking_attn_score,2,0.7,0,48.188123,47.238287,54.158686,14690996736,14755561472,334495744,22.581661,,,,,
mme,masking_attn_score,3,0.2,0,46.70251,46.536495,47.589548,14690832896,14782824448,334495744,21.277288,,,,,
mme,masking_attn_score,3,0.3,0,48.274721,47.01696,54.445761,14690832896,14782824448,334495744,22.529592,,,,,
mme,masking_attn_score,3,0.4,0,47.381147,47.200176,49.187746,14690832896,14782824448,334495744,21.670422,,,,,
mme,masking_attn_score,3,0.5,0,47.661762,47.400623,49.459951,14690832896,14782824448,334495744,21.687877,,,,,
mme,masking_attn_score,3,0.6,0,47.499664,46.66704,51.631556,14690832896,14782824448,334495744,21.739939,,,,,
mme,masking_attn_score,3,0.7,0,46.706701,46.572273,47.376801,14690832896,14782824448,334495744,21.307435,,,,,
mme,tail_masking_attn_score,1,0.2,0,79.794802,78.782848,83.774121,14748904448,14837350400,334495744,1.356666,,,,,
mme,tail_masking_attn_score,1,0.3,0,79.931194,79.304878,83.88981,14748904448,14837350400,334495744,1.429469,,,,,
mme,tail_masking_attn_score,1,0.4,0,80.958401,80.101696,86.608794,14748904448,14837350400,334495744,1.447578,,,,,
mme,tail_masking_attn_score,1,0.5,0,80.096588,79.568478,83.283712,14748904448,14837350400,334495744,1.414336,,,,,
mme,tail_masking_attn_score,1,0.6,0,79.035247,78.654034,80.973954,14748904448,14837350400,334495744,1.331232,,,,,
mme,tail_masking_attn_score,1,0.7,0,81.456796,80.250561,86.246905,14748904448,14837350400,334495744,1.448912,,,,,
mme,tail_masking_attn_score,2,0.2,0,81.026875,80.201122,84.360182,14748985856,14864613376,334495744,2.254914,,,,,
mme,tail_masking_attn_score,2,0.3,0,79.599822,79.11533,82.498542,14748985856,14864613376,334495744,2.087368,,,,,
mme,tail_masking_attn_score,2,0.4,0,79.061246,77.761471,89.086769,14748985856,14864613376,334495744,2.217691,,,,,
mme,tail_masking_attn_score,2,0.5,0,79.253618,77.875282,85.233484,14748985856,14864613376,334495744,2.473088,5.037792,2.690016,2.53968,,anchor_trace
mme,tail_masking_attn_score,2,0.6,0,79.022353,78.153023,84.261134,14748985856,14864613376,334495744,1.977397,,,,,
mme,tail_masking_attn_score,2,0.7,0,80.447567,79.56728,85.095031,14748985856,14864613376,334495744,2.677891,,,,,
mme,tail_masking_attn_score,3,0.2,0,77.877205,77.638577,80.237728,14748659200,14812184576,334495744,2.703979,,,,,
mme,tail_masking_attn_score,3,0.3,0,94.086182,78.861923,104.527643,14748659200,14812184576,334495744,3.303797,,,,,
mme,tail_masking_attn_score,3,0.4,0,78.746951,77.537933,81.194712,14748659200,14812184576,334495744,2.737926,,,,,
mme,tail_masking_attn_score,3,0.5,0,77.613533,77.897011,78.541436,14748659200,14812184576,334495744,2.682376,,,,,
mme,tail_masking_attn_score,3,0.6,0,77.792523,77.490269,80.098405,14748659200,14812184576,334495744,2.660554,,,,,
mme,tail_masking_attn_score,3,0.7,0,78.418928,77.408207,80.630999,14748659200,14812184576,334495744,2.701194,,,,,
pope,baseline,,,0,46.680064,45.518335,51.431355,14707351552,14807990272,334495744,23.160837,2.465632,1.14048,2.163968,,anchor_trace
pope,masking_attn_score,1,0.2,0,46.828036,46.631599,47.200292,14707187712,14782824448,334495744,21.353661,,,,,
pope,masking_attn_score,1,0.3,0,46.920435,46.384752,48.961121,14707187712,14782824448,334495744,21.246118,,,,,
pope,masking_attn_score,1,0.4,0,46.642289,46.582975,47.032032,14707187712,14782824448,334495744,21.170083,,,,,
pope,masking_attn_score,1,0.5,0,47.252859,46.654816,50.264194,14707187712,14782824448,334495744,21.507971,,,,,
pope,masking_attn_score,1,0.6,0,47.291811,46.846048,49.854462,14707187712,14782824448,334495744,21.759909,,,,,
pope,masking_attn_score,1,0.7,0,47.61629,47.130209,49.745652,14707187712,14782824448,334495744,21.943118,,,,,
pope,masking_attn_score,2,0.2,0,47.029573,46.594864,47.772362,14707187712,14782824448,334495744,21.780066,,,,,
pope,masking_attn_score,2,0.3,0,46.863239,46.651632,48.095862,14707187712,14782824448,334495744,21.581549,,,,,
pope,masking_attn_score,2,0.4,0,48.475672,46.879393,56.065535,14707187712,14782824448,334495744,22.882115,,,,,
pope,masking_attn_score,2,0.5,0,47.913214,47.454414,50.151565,14707187712,14782824448,334495744,22.281829,2.555168,1.169088,2.144576,,anchor_trace
pope,masking_attn_score,2,0.6,0,47.452074,46.659199,49.862852,14707187712,14782824448,334495744,22.095698,,,,,
pope,masking_attn_score,2,0.7,0,46.723563,46.72904,47.045961,14707187712,14782824448,334495744,21.391506,,,,,
pope,masking_attn_score,3,0.2,0,48.262365,47.354225,54.302482,14707187712,14782824448,334495744,22.714285,,,,,
pope,masking_attn_score,3,0.3,0,47.229321,47.050898,48.159544,14707187712,14782824448,334495744,21.740957,,,,,
pope,masking_attn_score,3,0.4,0,47.887211,47.409248,52.193147,14707187712,14782824448,334495744,22.092781,,,,,
pope,masking_attn_score,3,0.5,0,47.655997,46.971537,50.9334,14707187712,14782824448,334495744,22.165542,,,,,
pope,masking_attn_score,3,0.6,0,48.087915,47.040592,54.039414,14707187712,14782824448,334495744,22.456627,,,,,
pope,masking_attn_score,3,0.7,0,47.251787,47.001904,49.433619,14707187712,14782824448,334495744,21.962275,,,,,
pope,tail_masking_attn_score,1,0.2,0,81.333064,80.760574,87.74537,14765014016,14839447552,334495744,1.562493,,,,,
pope,tail_masking_attn_score,1,0.3,0,80.464621,80.095264,83.325697,14765014016,14839447552,334495744,1.424326,,,,,
pope,tail_masking_attn_score,1,0.4,0,85.811248,81.222511,92.32256,14765014016,14839447552,334495744,1.382523,,,,,
pope,tail_masking_attn_score,1,0.5,0,80.572935,79.403954,87.317463,14765014016,14839447552,334495744,1.631186,,,,,
pope,tail_masking_attn_score,1,0.6,0,79.331954,78.588898,81.703138,14765014016,14839447552,334495744,1.33151,,,,,
pope,tail_masking_attn_score,1,0.7,0,80.071384,79.786896,82.883909,14765014016,14839447552,334495744,1.395581,,,,,
pope,tail_masking_attn_score,2,0.2,0,78.893623,78.580032,81.960164,14765014016,14839447552,334495744,2.277638,,,,,
pope,tail_masking_attn_score,2,0.3,0,79.742557,79.685966,82.427472,14765014016,14839447552,334495744,2.280898,,,,,
pope,tail_masking_attn_score,2,0.4,0,79.14972,78.694656,81.188063,14765014016,14839447552,334495744,2.265374,,,,,
pope,tail_masking_attn_score,2,0.5,0,79.620578,78.285854,89.728086,14765014016,14839447552,334495744,2.320309,4.642752,2.646464,2.340224,,anchor_trace
pope,tail_masking_attn_score,2,0.6,0,78.848491,78.075264,80.577837,14765014016,14839447552,334495744,2.242736,,,,,
pope,tail_masking_attn_score,2,0.7,0,81.306475,79.646049,87.570095,14765014016,14839447552,334495744,2.637411,,,,,
pope,tail_masking_attn_score,3,0.2,0,77.827056,77.376961,81.057251,14764687360,14839447552,334495744,2.918712,,,,,
pope,tail_masking_attn_score,3,0.3,0,78.654485,77.926128,82.535136,14764687360,14839447552,334495744,2.965621,,,,,
