dataset,strategy,prune_layer,prune_ratio,sample_index,prefill_ms_mean,prefill_ms_p50,prefill_ms_p95,peak_allocated_bytes,peak_reserved_bytes,kv_cache_bytes_est,attn_total_ms,qk_ms,softmax_ms,av_ms,theoretical_speedup_prefill,notes
gqa,baseline,,,0,43.697648,43.947088,44.737176,14674736128,14755561472,332398592,21.244598,4.556,1.830368,3.971904,1.0,anchor_trace
gqa,masking_attn_score,1,0.2,0,48.027541,47.298353,52.216604,14674736128,14755561472,332398592,22.070616,,,,1.000407343518102,
gqa,masking_attn_score,1,0.3,0,51.203342,49.074207,60.985529,14674736128,14755561472,332398592,23.542101,,,,1.0006093672500531,
gqa,masking_attn_score,1,0.4,0,50.16881,49.111616,59.313305,14674736128,14755561472,332398592,22.885758,,,,1.0008150190289224,
gqa,masking_attn_score,1,0.5,0,49.014864,47.85504,53.812109,14674736128,14755561472,332398592,22.605902,,,,1.0010207553589656,
gqa,masking_attn_score,1,0.6,0,46.66012,46.55496,47.196935,14674736128,14755561472,332398592,21.218877,,,,1.0012230269384976,
gqa,masking_attn_score,1,0.7,0,47.274185,46.585056,48.510715,14674736128,14755561472,332398592,21.649082,,,,1.0014289310673725,
gqa,masking_attn_score,2,0.2,0,48.7052,47.556273,54.26848,14674736128,14755561472,332398592,22.509701,,,,1.000407343518102,
gqa,masking_attn_score,2,0.3,0,48.323077,47.593393,52.65705,14674736128,14755561472,332398592,22.050854,,,,1.0006093672500531,
gqa,masking_attn_score,2,0.4,0,48.404136,47.380367,54.900495,14674736128,14755561472,332398592,22.432038,,,,1.0008150190289224,
gqa,masking_attn_score,2,0.5,0,46.614178,46.563488,46.948359,14674736128,14755561472,332398592,21.179677,2.777344,1.260768,2.222208,1.0010207553589656,anchor_trace
gqa,masking_attn_score,2,0.6,0,47.975571,46.681456,52.148304,14674736128,14755561472,332398592,22.437046,,,,1.0012230269384976,
gqa,masking_attn_score,2,0.7,0,47.434739,47.250959,49.460607,14674736128,14755561472,332398592,21.922469,,,,1.0014289310673725,
gqa,masking_attn_score,3,0.2,0,47.682808,47.026447,51.454365,14674736128,14755561472,332398592,22.155898,,,,1.000407343518102,
gqa,masking_attn_score,3,0.3,0,46.755349,46.610321,47.882823,14674736128,14755561472,332398592,21.338746,,,,1.0006093672500531,
gqa,masking_attn_score,3,0.4,0,47.606157,47.160641,49.348142,14674736128,14755561472,332398592,21.70699,,,,1.0008150190289224,
gqa,masking_attn_score,3,0.5,0,47.786532,46.962513,51.634351,14674736128,14755561472,332398592,22.087586,,,,1.0010207553589656,
gqa,masking_attn_score,3,0.6,0,47.279263,47.085312,48.035769,14674736128,14755561472,332398592,21.681506,,,,1.0012230269384976,
gqa,masking_attn_score,3,0.7,0,49.045443,47.316641,54.699142,14674736128,14755561472,332398592,23.013578,,,,1.0014289310673725,
gqa,tail_masking_attn_score,1,0.2,0,76.727835,76.367905,78.673718,14732361728,14812184576,332398592,1.411363,,,,1.012783871881578,
gqa,tail_masking_attn_score,1,0.3,0,76.531355,76.097168,78.696,14732361728,14812184576,332398592,1.355776,,,,1.0192421508480694,
gqa,tail_masking_attn_score,1,0.4,0,76.360251,75.117283,83.706505,14732361728,14812184576,332398592,1.705274,,,,1.0258988311018444,
gqa,tail_masking_attn_score,1,0.5,0,76.974765,74.954384,85.725764,14732361728,14812184576,332398592,1.588472,,,,1.0326430326430327,
gqa,tail_masking_attn_score,1,0.6,0,74.267879,74.244625,74.988453,14732361728,14812184576,332398592,1.322333,,,,1.0393579085660032,
gqa,tail_masking_attn_score,1,0.7,0,74.860443,73.696114,84.235383,14732361728,14812184576,332398592,1.72269,,,,1.0462808264089294,
gqa,tail_masking_attn_score,2,0.2,0,73.217174,72.16795,79.889396,14732361728,14812184576,332398592,1.958373,,,,1.0123663892294126,
gqa,tail_masking_attn_score,2,0.3,0,72.972248,72.893936,74.480927,14732361728,14812184576,332398592,1.924594,,,,1.0186098848783867,
gqa,tail_masking_attn_score,2,0.4,0,74.585403,73.173904,80.91399,14732361728,14812184576,332398592,2.137832,,,,1.0250424633073472,
gqa,tail_masking_attn_score,2,0.5,0,73.423978,73.08976,76.176484,14732361728,14812184576,332398592,2.189022,4.88912,2.747296,2.380672,1.0315568022440393,anchor_trace
gqa,tail_masking_attn_score,2,0.6,0,79.071615,78.640862,82.602592,14732361728,14812184576,332398592,2.021422,,,,1.038040002646261,
gqa,tail_masking_attn_score,2,0.7,0,81.104428,80.083775,86.548785,14732361728,14812184576,332398592,2.793858,,,,1.0447211310118294,
gqa,tail_masking_attn_score,3,0.2,0,79.221917,78.646622,81.958669,14732361728,14812184576,332398592,2.757968,,,,1.0119492506189605,
gqa,tail_masking_attn_score,3,0.3,0,79.104629,78.345345,83.830961,14732361728,14812184576,332398592,3.062621,,,,1.0179784028488632,
gqa,tail_masking_attn_score,3,0.4,0,78.591843,77.162704,87.319371,14732361728,14812184576,332398592,2.970149,,,,1.0241875240243399,
gqa,tail_masking_attn_score,3,0.5,0,78.591338,77.951279,80.295636,14732361728,14812184576,332398592,2.835299,,,,1.0304728546409807,
gqa,tail_masking_attn_score,3,0.6,0,78.018417,77.104977,82.587161,14732361728,14812184576,332398592,2.637058,,,,1.0367254347036088,
gqa,tail_masking_attn_score,3,0.7,0,79.679374,78.80299,84.660265,14732361728,14812184576,332398592,2.800035,,,,1.0431660787826182,
mme,baseline,,,0,46.011382,46.02352,46.710408,14690996736,14755561472,334495744,22.36985,2.457088,1.172064,2.225632,1.0,anchor_trace
mme,masking_attn_score,1,0.2,0,47.181571,47.007744,48.514482,14690996736,14755561472,334495744,21.412882,,,,1.0004071589158952,
mme,masking_attn_score,1,0.3,0,47.403415,47.159248,48.179331,14690996736,14755561472,334495744,21.670458,,,,1.0006090910378629,
mme,masking_attn_score,1,0.4,0,49.611968,48.617136,51.057936,14690996736,14755561472,334495744,22.938178,,,,1.0008146495236072,
mme,masking_attn_score,1,0.5,0,47.061009,46.981424,47.64562,14690996736,14755561472,334495744,21.452938,,,,1.0010202924838454,
mme,masking_attn_score,1,0.6,0,48.514786,47.485903,53.810337,14690996736,14755561472,334495744,22.833352,,,,1.00122247222862,
mme,masking_attn_score,1,0.7,0,47.922019,47.791759,48.915233,14690996736,14755561472,334495744,21.81985,,,,1.0014282828354426,
mme,masking_attn_score,2,0.2,0,47.246805,46.657152,49.740201,14690996736,14755561472,334495744,21.600493,,,,1.0004071589158952,
mme,masking_attn_score,2,0.3,0,47.462545,46.497856,53.384683,14690996736,14755561472,334495744,21.742936,,,,1.0006090910378629,
mme,masking_attn_score,2,0.4,0,46.591113,46.451216,46.978538,14690996736,14755561472,334495744,21.290398,,,,1.0008146495236072,
mme,masking_attn_score,2,0.5,0,48.078321,47.317551,51.407017,14690996736,14755561472,334495744,22.530965,2.533408,1.203552,2.117024,1.0010202924838454,anchor_trace
mme,masking_attn_score,2,0.6,0,47.618868,46.9984,50.260449,14690996736,14755561472,334495744,21.899586,,,,1.00122247222862,
mme,masking_attn_score,2,0.7,0,48.188123,47.238287,54.158686,14690996736,14755561472,334495744,22.581661,,,,1.0014282828354426,
mme,masking_attn_score,3,0.2,0,46.70251,46.536495,47.589548,14690832896,14782824448,334495744,21.277288,,,,1.0004071589158952,
mme,masking_attn_score,3,0.3,0,48.274721,47.01696,54.445761,14690832896,14782824448,334495744,22.529592,,,,1.0006090910378629,
mme,masking_attn_score,3,0.4,0,47.381147,47.200176,49.187746,14690832896,14782824448,334495744,21.670422,,,,1.0008146495236072,
mme,masking_attn_score,3,0.5,0,47.661762,47.400623,49.459951,14690832896,14782824448,334495744,21.687877,,,,1.0010202924838454,
mme,masking_attn_score,3,0.6,0,47.499664,46.66704,51.631556,14690832896,14782824448,334495744,21.739939,,,,1.00122247222862,
mme,masking_attn_score,3,0.7,0,46.706701,46.572273,47.376801,14690832896,14782824448,334495744,21.307435,,,,1.0014282828354426,
mme,tail_masking_attn_score,1,0.2,0,79.794802,78.782848,83.774121,14748904448,14837350400,334495744,1.356666,,,,1.0127780067743148,
mme,tail_masking_attn_score,1,0.3,0,79.931194,79.304878,83.88981,14748904448,14837350400,334495744,1.429469,,,,1.0192332664810193,
mme,tail_masking_attn_score,1,0.4,0,80.958401,80.101696,86.608794,14748904448,14837350400,334495744,1.447578,,,,1.025886795192971,
mme,tail_masking_attn_score,1,0.5,0,80.096588,79.568478,83.283712,14748904448,14837350400,334495744,1.414336,,,,1.0326277628347562,
mme,tail_masking_attn_score,1,0.6,0,79.035247,78.654034,80.973954,14748904448,14837350400,334495744,1.331232,,,,1.0393393780001103,
mme,tail_masking_attn_score,1,0.7,0,81.456796,80.250561,86.246905,14748904448,14837350400,334495744,1.448912,,,,1.0462588913121558,
mme,tail_masking_attn_score,2,0.2,0,81.026875,80.201122,84.360182,14748985856,14864613376,334495744,2.254914,,,,1.0123607179964889,
mme,tail_masking_attn_score,2,0.3,0,79.599822,79.11533,82.498542,14748985856,14864613376,334495744,2.087368,,,,1.0186012977649603,
mme,tail_masking_attn_score,2,0.4,0,79.061246,77.761471,89.086769,14748985856,14864613376,334495744,2.217691,,,,1.025030835086701,
